id,term,slug,sense,theme,centuries,authors,works,active_variants,relations,public_url
TAH-000001,Ábaco,abaco,"Miembro superior del capitel, ordinariamente dispuesto como tablero, que corona el conjunto y recibe el arquitrabe u otro elemento sustentado.",Elementos y partes arquitectónicas,XVIII | XIX,Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails | Mariano Matallana | Eugène Viollet-le-Duc | J. Justin Storck,Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Los cuatro libros de arquitectura | Diccionario de arquitectura civil | Vocabulario de arquitectura civil | Diccionario razonado de la arquitectura francesa | Diccionario práctico citado en el comparador documental,Abaco,Capitel | Columna | Arquitrabe,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/abaco/
TAH-000002,Arco,arco,"Fábrica de trazado curvo que salva un vano y conduce las cargas hacia sus apoyos, formada históricamente por dovelas o piezas orientadas hacia uno o varios centros.",Elementos y partes arquitectónicas,XVI | XVIII | XIX,Sebastiano Serlio / Francisco de Villalpando | León Battista Alberti / Francisco Lozano | Jacopo Barozzi da Vignola / Patricio Caxés | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Benito Bails | Mariano Matallana,Tercero y quarto libro de Architectura | Los diez libros de architectura | Regla de las cinco órdenes de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Diccionario de arquitectura civil | Vocabulario de arquitectura civil,arcos,Dovela | Clave | Cimbra | Estribo | Machón | Montea,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/arco/
TAH-000003,Arquitectura,arquitectura,"Disciplina teórica y práctica que ordena, proyecta y dirige la construcción de edificios, integrando conocimientos diversos para alcanzar firmeza, adecuación al uso y calidad formal.",Sin clasificación temática forzada,XVI | XVIII | XIX,Diego de Sagredo | Sebastiano Serlio / Francisco de Villalpando | León Battista Alberti / Francisco Lozano | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails | Mariano Matallana,"Medidas del Romano, segunda edición consultada | Tercero y quarto libro de Architectura | Los diez libros de architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Los cuatro libros de arquitectura | Diccionario de arquitectura civil | Vocabulario de arquitectura civil",Architectura,Proporción | Simetría | Orden | Decoro | Economía,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/arquitectura/
TAH-000004,Arquitrabe,arquitrabe,"Miembro inferior del entablamento, dispuesto sobre los capiteles, que recibe los elementos superiores y transmite sus cargas hacia las columnas.",Elementos y partes arquitectónicas,XVI | XVIII | XIX,Diego de Sagredo | Sebastiano Serlio / Francisco de Villalpando | León Battista Alberti / Francisco Lozano | Jacopo Barozzi da Vignola / Patricio Caxés | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails | Mariano Matallana,"Medidas del Romano, segunda edición consultada | Tercero y quarto libro de Architectura | Los diez libros de architectura | Regla de las cinco órdenes de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Los cuatro libros de arquitectura | Diccionario de arquitectura civil | Vocabulario de arquitectura civil",architrabe,Entablamento | Friso | Capitel,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/arquitrabe/
TAH-000005,Basa,basa,"Miembro inferior de la columna, formado por molduras y apoyado sobre el plinto o asiento correspondiente, cuya composición varía según el orden.",Elementos y partes arquitectónicas,XVI | XVIII | XIX,Diego de Sagredo | Sebastiano Serlio / Francisco de Villalpando | León Battista Alberti / Francisco Lozano | Jacopo Barozzi da Vignola / Patricio Caxés | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,"Medidas del Romano, segunda edición consultada | Tercero y quarto libro de Architectura | Los diez libros de architectura | Regla de las cinco órdenes de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Los cuatro libros de arquitectura | Diccionario de arquitectura civil",basa ática | basa aticurga,Columna | Orden,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/basa/
TAH-000006,Bóveda,boveda,"Estructura de fábrica curva que cubre un espacio o forma un suelo y transmite sus cargas hacia muros, pilares, machones, estribos o arcos.",Elementos y partes arquitectónicas,XVI | XVIII | XIX,León Battista Alberti / Francisco Lozano | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,Los diez libros de architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Los cuatro libros de arquitectura | Diccionario de arquitectura civil,boveda,Arco | Dovela | Clave | Cimbra | Estribo | Machón | Montea,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/boveda/
TAH-000007,Capitel,capitel,Miembro superior de la columna que corona el fuste y transmite hacia él las cargas del arquitrabe o del elemento que descansa encima.,Elementos y partes arquitectónicas,XVI | XVIII | XIX,Diego de Sagredo | Sebastiano Serlio / Francisco de Villalpando | León Battista Alberti / Francisco Lozano | Jacopo Barozzi da Vignola / Patricio Caxés | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,"Medidas del Romano, segunda edición consultada | Tercero y quarto libro de Architectura | Los diez libros de architectura | Regla de las cinco órdenes de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Los cuatro libros de arquitectura | Diccionario de arquitectura civil",capitél | capiteles,Ábaco | Columna | Arquitrabe | Orden,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/capitel/
TAH-000008,Cimbra,cimbra,Armazón provisional que reproduce la forma interior de un arco o bóveda y sostiene sus piezas hasta que la fábrica queda cerrada y estable.,Técnicas constructivas y procesos de ejecución,XVIII | XIX,Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Benito Bails | P. C. Espinosa,Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Diccionario de arquitectura civil | Manual de construcciones de albañilería,cimbria,Arco | Bóveda | Dovela | Clave,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/cimbra/
TAH-000009,Clave,clave,"Dovela situada en la parte superior o central de un arco y, por extensión, pieza o conjunto de cierre de una bóveda de fábrica.",Elementos y partes arquitectónicas,XVIII | XIX,Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Benito Bails,Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Diccionario de arquitectura civil,,Dovela | Arco | Bóveda,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/clave/
TAH-000010,Columna,columna,"Soporte vertical aislado que recibe y transmite cargas y que, en los órdenes históricos, se compone generalmente de basa, fuste y capitel.",Elementos y partes arquitectónicas,XVI | XVIII | XIX,Diego de Sagredo | Sebastiano Serlio / Francisco de Villalpando | León Battista Alberti / Francisco Lozano | Jacopo Barozzi da Vignola / Patricio Caxés | Claude Perrault / Joseph Castañeda | Marco Vitruvio Polión / Joseph Ortiz y Sanz | Diego Antonio Rejón de Silva | Simonin / Martínez de la Torre / Asensio | Andrea Palladio / Joseph Francisco Ortiz y Sanz | Benito Bails,"Medidas del Romano, segunda edición consultada | Tercero y quarto libro de Architectura | Los diez libros de architectura | Regla de las cinco órdenes de Architectura | Compendio de los diez libros de Arquitectura de Vitruvio | Los diez libros de Arquitectura | Diccionario de las Nobles Artes | Tratado elemental de los cortes de cantería o Arte de la montea | Los cuatro libros de arquitectura | Diccionario de arquitectura civil",coluna | columnas,Basa | Capitel | Intercolumnio | Orden,https://legado-npgm.github.io/terminologia-arquitectonica-historica/terminos/columna/
